Sex,X,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,110,15.643,15.9262,16.3621,17.1557,18.1,19.1792,20.2631,20.9897,21.4616
2,111,15.943,16.2262,16.6621,17.4557,18.4,19.5466,20.6631,21.3897,21.8616
2,112,16.243,16.5262,16.9621,17.7883,18.8,19.9466,21.0913,21.8542,22.3497
2,113,16.455,16.7617,17.234,18.0883,19.1,20.3141,21.5194,22.3187,22.8377
2,114,16.755,17.0617,17.534,18.4208,19.5,20.7141,21.9476,22.7832,23.3258
2,115,17.0669,17.3972,17.9058,18.8208,19.9,21.1815,22.4476,23.2832,23.8258
2,116,17.3669,17.6972,18.2058,19.1534,20.3,21.649,22.9757,23.8476,24.4139
2,117,17.6669,17.9972,18.5058,19.4859,20.7,22.049,23.432,24.3766,24.9901
2,118,17.8907,18.2682,18.8495,19.8859,21.1,22.5164,23.9602,24.9411,25.5781
2,119,18.2788,18.6327,19.1777,20.2185,21.5,23.0513,24.5602,25.5411,26.1781
2,120,18.5907,18.9682,19.5495,20.651,22.0,23.5513,25.0883,26.1056,26.7662
2,121,18.9027,19.3037,19.9214,21.051,22.4,24.0862,25.7165,26.7701,27.4543
2,122,19.2146,19.6393,20.2932,21.4836,22.9,24.5862,26.2728,27.399,28.1305
2,123,19.5265,19.9748,20.6651,21.9161,23.4,25.1537,26.901,28.0635,28.8185
2,124,19.8384,20.3103,21.0369,22.3161,23.8,25.6886,27.5291,28.728,29.5066
2,125,20.2384,20.7103,21.4369,22.7487,24.3,26.256,28.1854,29.457,30.2828
2,126,20.5503,21.0458,21.8087,23.1812,24.8,26.8235,28.8136,30.1215,30.9709
2,127,20.8623,21.3813,22.1806,23.6138,25.3,27.3909,29.4699,30.8504,31.747
2,128,21.1742,21.7168,22.5524,24.0463,25.8,27.9584,30.0981,31.5149,32.4351
2,129,21.5623,22.0813,22.8806,24.4114,26.3,28.5258,30.7544,32.2439,33.2113
2,130,21.8742,22.4168,23.2524,24.844,26.8,29.0933,31.3825,32.9084,33.8993
